Row ID,Industry,Company,Name,Project Type,Project_Status,Technology,Key Tech,Key Values,Location,Region,Year,More
22.0,ACDP,SOM,Robotic Construction: The Glass Vault,RESEARCH,Completed,Software Tech,Analytics & Visualization,Flexibility,USA,North America,2021,
22.0,ACDP,SOM,Robotic Construction: The Glass Vault,RESEARCH,Completed,Robotics,Analytics & Visualization,Flexibility,USA,North America,2021,
23.0,ACDP,AECOM,PlanEngage,PRODUCT,Completed,Data Analytics,Analytics & Visualization,Decision Making,USA,North America,2022,Online real time collaboration for reporting 
23.0,ACDP,AECOM,PlanEngage,PRODUCT,Completed,Data Visualisation,Analytics & Visualization,Decision Making,USA,North America,2022,Online real time collaboration for reporting 
23.0,ACDP,AECOM,PlanEngage,PRODUCT,Completed,Cloud,Analytics & Visualization,Decision Making,USA,North America,2022,Online real time collaboration for reporting 
23.0,ACDP,AECOM,PlanEngage,PRODUCT,Completed,Dashboard,Analytics & Visualization,Decision Making,USA,North America,2022,Online real time collaboration for reporting 
23.0,ACDP,AECOM,PlanEngage,PRODUCT,Completed,User Interface,Analytics & Visualization,Decision Making,USA,North America,2022,Online real time collaboration for reporting 
23.0,ACDP,AECOM,PlanEngage,PRODUCT,Completed,GIS,Analytics & Visualization,Decision Making,USA,North America,2022,Online real time collaboration for reporting 
23.0,ACDP,AECOM,PlanEngage,PRODUCT,Completed,Digital Twin,Analytics & Visualization,Decision Making,USA,North America,2022,Online real time collaboration for reporting 
24.0,CONSULTING,Accenture,Transport Orientation Platform,PRODUCT,Completed,Urban OS,Analytics & Visualization,Revenue & Cost Optimisation,Ireland,Other,2021,
24.0,CONSULTING,Accenture,Transport Orientation Platform,PRODUCT,Completed,Cloud Services,Analytics & Visualization,Revenue & Cost Optimisation,Ireland,Other,2021,
24.0,CONSULTING,Accenture,Transport Orientation Platform,PRODUCT,Completed,AI,Analytics & Visualization,Revenue & Cost Optimisation,Ireland,Other,2021,
24.0,CONSULTING,Accenture,Transport Orientation Platform,PRODUCT,Completed,Machine Learning,Analytics & Visualization,Revenue & Cost Optimisation,Ireland,Other,2021,
24.0,CONSULTING,Accenture,Transport Orientation Platform,PRODUCT,Completed,Platform Tools,Analytics & Visualization,Revenue & Cost Optimisation,Ireland,Other,2021,
24.0,CONSULTING,Accenture,Transport Orientation Platform,PRODUCT,Completed,Workflow automation,Analytics & Visualization,Revenue & Cost Optimisation,Ireland,Other,2021,
24.0,CONSULTING,Accenture,Transport Orientation Platform,PRODUCT,Completed,Real time IOT,Analytics & Visualization,Revenue & Cost Optimisation,Ireland,Other,2021,
25.0,CONSULTING,Accenture,Accenture Innovation Center Fukushima,INITIATIVE,Ongoing,City OS,Analytics & Visualization,Decision Making,Japan,Other,ongoing,2011
25.0,CONSULTING,Accenture,Accenture Innovation Center Fukushima,INITIATIVE,Ongoing,Urban Data Analytics,Analytics & Visualization,Decision Making,Japan,Other,ongoing,2011
25.0,CONSULTING,Accenture,Accenture Innovation Center Fukushima,INITIATIVE,Ongoing,Digital Connectivity Technology,Analytics & Visualization,Decision Making,Japan,Other,ongoing,2011
25.0,CONSULTING,Accenture,Accenture Innovation Center Fukushima,INITIATIVE,Ongoing,Software Tech and Computing,Analytics & Visualization,Decision Making,Japan,Other,ongoing,2011
25.0,CONSULTING,Accenture,Accenture Innovation Center Fukushima,INITIATIVE,Ongoing,AI,Analytics & Visualization,Decision Making,Japan,Other,ongoing,2011
26.0,CONSULTING,Accenture,Digital Disaster Prevention System Aizuwakamatsu+,PRODUCT,Completed,City OS,Analytics & Visualization,Decision Making,Japan,Other,2019,
26.0,CONSULTING,Accenture,Digital Disaster Prevention System Aizuwakamatsu+,PRODUCT,Completed,Cloud Services,Analytics & Visualization,Decision Making,Japan,Other,2019,
26.0,CONSULTING,Accenture,Digital Disaster Prevention System Aizuwakamatsu+,PRODUCT,Completed,API,Analytics & Visualization,Decision Making,Japan,Other,2019,
26.0,CONSULTING,Accenture,Digital Disaster Prevention System Aizuwakamatsu+,PRODUCT,Completed,Digital Connectivity,Analytics & Visualization,Decision Making,Japan,Other,2019,
